X,Z
7CC,7FF
7CD,7FF
7CE,7FF
7CF,7FF
7D0,7FF
7D1,7FF
7D2,7FF
7D3,7FF
7D4,7FF
7D5,7FF
7D6,7FF
7D7,7FF
7D8,7FF
7D9,7FF
7DA,7FF
7DB,7FF
7DC,7FF
7DD,7FF
7DE,7FF
7DF,7FF
7E0,7FF
7E1,7FF
7E2,7FF
7E3,7FF
7E4,7FF
7E5,7FF
7E6,7FF
7E7,7FF
7E8,7FF
7E9,7FF
7EA,7FF
7EB,7FF
7EC,7FF
7ED,7FF
7EE,7FF
7EF,7FF
7F0,7FF
7F1,7FF
7F2,7FF
7F3,7FF
7F4,7FF
7F5,7FF
7F6,7FF
7F7,7FF
7F8,7FF
7F9,7FF
7FA,7FF
7FB,7FF
7FC,7FF
7FD,7FF
7FE,7FF
7FF,7FF
